query,hit_rank,corpus_id,source_file,unit_no,locator_type,sha1,fts_query
黄帝,19,GCI-HOLD-0003,01史记.txt,642,line,87ed8c34bbfb2bbe091a5c66e482b86340aad3b0,"""黄 帝"""
黄帝,20,GCI-HOLD-0003,01史记.txt,653,line,f7df3de18ca08b62808d797dbd370ddb314924f0,"""黄 帝"""
黄帝,21,GCI-HOLD-0003,01史记.txt,656,line,b224a86aa0110e25d79ee84068809e6c09b64b8f,"""黄 帝"""
黄帝,22,GCI-HOLD-0003,01史记.txt,659,line,0a9ab67ebf00933744dc94f0edc28365f0fbcc1a,"""黄 帝"""
黄帝,23,GCI-HOLD-0003,01史记.txt,662,line,e0181e530bdea9a9e15dc3266e0d18980fb56217,"""黄 帝"""
黄帝,24,GCI-HOLD-0003,01史记.txt,663,line,768378b3bb69ab0d51f6cddb5b93b1dac1d69368,"""黄 帝"""
黄帝,25,GCI-HOLD-0003,01史记.txt,670,line,6d89576d6bf7dd26185eba5166b2c154b9742834,"""黄 帝"""
共工,1,GCI-HOLD-0003,01史记.txt,15,line,456a1884344256e05829e09937f6ba1790f2d60f,"""共 工"""
共工,2,GCI-HOLD-0003,01史记.txt,18,line,ceaf3575d48c187249f2ba0c9089b9c24adccdfe,"""共 工"""
共工,3,GCI-HOLD-0003,01史记.txt,26,line,2a6acfe2b308c1ab1bb5ce5daa0eb36daf8e0a33,"""共 工"""
共工,4,GCI-HOLD-0003,01史记.txt,817,line,f8a7b58cbe6902fa7b9e504052e213c8fed2afad,"""共 工"""
共工,5,GCI-HOLD-0003,01史记.txt,1964,line,b3cc8466634e45f7e70d0af66b393ed32b49e70b,"""共 工"""
共工,6,GCI-HOLD-0003,02汉书.txt,1220,line,c891a1cdc1d59c70a249ae2e1ee40ebf48827440,"""共 工"""
共工,7,GCI-HOLD-0003,02汉书.txt,1235,line,87fb07ce2c76d62be7e3faf0c506b44d848b96be,"""共 工"""
共工,8,GCI-HOLD-0003,02汉书.txt,1476,line,06421b84de18d0f6ece5f02d8ab7518dc96ae24f,"""共 工"""
共工,9,GCI-HOLD-0003,02汉书.txt,1477,line,5d31f94c80742f1e3fb20a915fabba4b6c49e753,"""共 工"""
共工,10,GCI-HOLD-0003,02汉书.txt,1478,line,71aec76a55f85090691a962c1f8b5856c314e972,"""共 工"""
共工,11,GCI-HOLD-0003,02汉书.txt,1615,line,9f61a10646b612304a8c70d3e2d1734e9b626f79,"""共 工"""
共工,12,GCI-HOLD-0003,02汉书.txt,1752,line,0da0e05a823ad188bc31b0bb32048fb965472b9a,"""共 工"""
共工,13,GCI-HOLD-0003,02汉书.txt,1879,line,28fd88d638229af9601ae1ab02bd0c3c47d06345,"""共 工"""
共工,14,GCI-HOLD-0003,02汉书.txt,3569,line,e901c9a168ba915c8864243a6b25dbb15c5d796e,"""共 工"""
共工,15,GCI-HOLD-0003,02汉书.txt,5362,line,525aebad0f932635f88bb4c43792727dddddde16,"""共 工"""
共工,16,GCI-HOLD-0003,02汉书.txt,5386,line,93da016e9945f7ebf031344a1bd1834749f23e19,"""共 工"""
