时代,字符数,系统,词项,次数,每百万字
清史稿扩展,5391829,娲—娃—蛙系统,娲,8,1.483726579607773
清史稿扩展,5391829,娲—娃—蛙系统,女娲,6,1.11279493470583
清史稿扩展,5391829,娲—娃—蛙系统,娃,22,4.0802480939213766
清史稿扩展,5391829,娲—娃—蛙系统,女娃,0,0.0
清史稿扩展,5391829,娲—娃—蛙系统,蛙,4,0.7418632898038865
清史稿扩展,5391829,娲—娃—蛙系统,青蛙,0,0.0
清史稿扩展,5391829,娲—娃—蛙系统,黾,20,3.709316449019433
清史稿扩展,5391829,娲—娃—蛙系统,精卫,0,0.0
清史稿扩展,5391829,鸟—凤—风系统,鸟,232,43.02807080862542
清史稿扩展,5391829,鸟—凤—风系统,凤,1654,306.7604703339071
清史稿扩展,5391829,鸟—凤—风系统,凤凰,217,40.24608347186085
清史稿扩展,5391829,鸟—凤—风系统,玄鸟,5,0.9273291122548583
清史稿扩展,5391829,鸟—凤—风系统,朱鸟朱雀,6,1.11279493470583
清史稿扩展,5391829,鸟—凤—风系统,精卫,0,0.0
清史稿扩展,5391829,鸟—凤—风系统,风,2080,385.76891069802105
清史稿扩展,5391829,鸟—凤—风系统,皇,4032,747.7981961223177
