序号,书名,时代,字符数,系统,词项,变体,独立Raw次数,最长优先次数,每百万字
04,三国志,魏晋南北朝,854325,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,娲,娲 / 媧,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,女娲,女娲 / 女媧,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,娃,娃,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,女娃,女娃,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,蛙,蛙,1,1,1.1705147338542123
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,黾,黾 / 黽,1,1,1.1705147338542123
04,三国志,魏晋南北朝,854325,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,鸟,鸟 / 鳥,95,95,111.19889971615018
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,凤,凤 / 鳳,66,66,77.25397243437801
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,23,23,26.921838878646884
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,0,0,0.0
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,2,2,2.3410294677084247
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,风,风 / 風,472,472,552.4829543791883
04,三国志,魏晋南北朝,854325,鸟—凤—风系统,皇,皇,619,619,724.5486202557574
05,晋书,魏晋南北朝,1453803,蛇—ta系统,他,他,155,155,106.61692127475318
05,晋书,魏晋南北朝,1453803,蛇—ta系统,她,她,0,0,0.0
05,晋书,魏晋南北朝,1453803,蛇—ta系统,它,它,0,0,0.0
05,晋书,魏晋南北朝,1453803,蛇—ta系统,蛇,蛇 / 虵,91,91,62.594450554855094
05,晋书,魏晋南北朝,1453803,蛇—ta系统,也,也,7566,7566,5204.281460417952
05,晋书,魏晋南北朝,1453803,蛇—ta系统,佗,佗,4,4,2.7514044199936305
05,晋书,魏晋南北朝,1453803,蛇—ta系统,牠,牠,0,0,0.0
05,晋书,魏晋南北朝,1453803,蛇—ta系统,姐姊,姐 / 姊,49,49,33.70470414492197
05,晋书,魏晋南北朝,1453803,蛇—ta系统,巳,巳,219,219,150.63939199465128
05,晋书,魏晋南北朝,1453803,蛇—ta系统,虺,虺,3,3,2.063553314995223
05,晋书,魏晋南北朝,1453803,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,6,6,4.127106629990446
05,晋书,魏晋南北朝,1453803,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
05,晋书,魏晋南北朝,1453803,蛇—ta系统,化蛇,化蛇,0,0,0.0
05,晋书,魏晋南北朝,1453803,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,娲,娲 / 媧,3,3,2.063553314995223
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,女娲,女娲 / 女媧,2,2,1.3757022099968153
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,娃,娃,0,0,0.0
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,女娃,女娃,0,0,0.0
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,蛙,蛙,7,7,4.8149577349888535
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,黾,黾 / 黽,5,5,3.439255524992038
05,晋书,魏晋南北朝,1453803,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,鸟,鸟 / 鳥,133,133,91.48419696478821
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,凤,凤 / 鳳,171,171,117.62253895472772
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,27,27,18.571979834957006
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,4,4,2.7514044199936305
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,13,13,8.942064364979299
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,风,风 / 風,1190,1190,818.542814948105
05,晋书,魏晋南北朝,1453803,鸟—凤—风系统,皇,皇,1766,1766,1214.745051427188
06,宋书,魏晋南北朝,1028274,蛇—ta系统,他,他,49,49,47.65266845218298
06,宋书,魏晋南北朝,1028274,蛇—ta系统,她,她,0,0,0.0
06,宋书,魏晋南北朝,1028274,蛇—ta系统,它,它,28,28,27.230096258390276
06,宋书,魏晋南北朝,1028274,蛇—ta系统,蛇,蛇 / 虵,43,43,41.81764782538506
06,宋书,魏晋南北朝,1028274,蛇—ta系统,也,也,3586,3586,3487.3973279495544
06,宋书,魏晋南北朝,1028274,蛇—ta系统,佗,佗,1,1,0.9725034377996525
06,宋书,魏晋南北朝,1028274,蛇—ta系统,牠,牠,0,0,0.0
06,宋书,魏晋南北朝,1028274,蛇—ta系统,姐姊,姐 / 姊,27,27,26.25759282059062
06,宋书,魏晋南北朝,1028274,蛇—ta系统,巳,巳,260,260,252.8508938279097
06,宋书,魏晋南北朝,1028274,蛇—ta系统,虺,虺,3,3,2.9175103133989575
06,宋书,魏晋南北朝,1028274,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,4,4,3.89001375119861
06,宋书,魏晋南北朝,1028274,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
06,宋书,魏晋南北朝,1028274,蛇—ta系统,化蛇,化蛇,0,0,0.0
06,宋书,魏晋南北朝,1028274,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,娲,娲 / 媧,1,1,0.9725034377996525
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,女娲,女娲 / 女媧,1,1,0.9725034377996525
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,娃,娃,0,0,0.0
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,女娃,女娃,0,0,0.0
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,蛙,蛙,1,1,0.9725034377996525
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,黾,黾 / 黽,8,8,7.78002750239722
06,宋书,魏晋南北朝,1028274,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,鸟,鸟 / 鳥,133,133,129.3429572273538
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,凤,凤 / 鳳,146,146,141.9855019187493
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,71,71,69.04774408377534
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,3,3,2.9175103133989575
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,22,22,21.395075631592356
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,风,风 / 風,792,792,770.2227227373248
06,宋书,魏晋南北朝,1028274,鸟—凤—风系统,皇,皇,1384,1384,1345.9447579147193
07,南齐书,魏晋南北朝,385031,蛇—ta系统,他,他,24,24,62.33264334560075
07,南齐书,魏晋南北朝,385031,蛇—ta系统,她,她,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,它,它,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,蛇,蛇 / 虵,9,9,23.37474125460028
07,南齐书,魏晋南北朝,385031,蛇—ta系统,也,也,1098,1098,2851.718433061234
07,南齐书,魏晋南北朝,385031,蛇—ta系统,佗,佗,1,1,2.5971934727333643
07,南齐书,魏晋南北朝,385031,蛇—ta系统,牠,牠,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,姐姊,姐 / 姊,10,10,25.971934727333643
07,南齐书,魏晋南北朝,385031,蛇—ta系统,巳,巳,122,122,316.85760367347046
07,南齐书,魏晋南北朝,385031,蛇—ta系统,虺,虺,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,化蛇,化蛇,0,0,0.0
07,南齐书,魏晋南北朝,385031,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,娲,娲 / 媧,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,女娲,女娲 / 女媧,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,娃,娃,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,女娃,女娃,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,蛙,蛙,2,2,5.194386945466729
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,黾,黾 / 黽,0,0,0.0
07,南齐书,魏晋南北朝,385031,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,鸟,鸟 / 鳥,48,48,124.6652866912015
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,凤,凤 / 鳳,44,44,114.27651280026804
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,9,9,23.37474125460028
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,0,0,0.0
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,6,6,15.583160836400188
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,风,风 / 風,298,298,773.9636548745425
07,南齐书,魏晋南北朝,385031,鸟—凤—风系统,皇,皇,467,467,1212.8893517664812
08,梁书,魏晋南北朝,368183,蛇—ta系统,他,他,17,17,46.17269129753411
08,梁书,魏晋南北朝,368183,蛇—ta系统,她,她,0,0,0.0
08,梁书,魏晋南北朝,368183,蛇—ta系统,它,它,2,2,5.43208132912166
08,梁书,魏晋南北朝,368183,蛇—ta系统,蛇,蛇 / 虵,13,13,35.308528639290785
08,梁书,魏晋南北朝,368183,蛇—ta系统,也,也,934,934,2536.781980699815
08,梁书,魏晋南北朝,368183,蛇—ta系统,佗,佗,10,10,27.160406645608298
08,梁书,魏晋南北朝,368183,蛇—ta系统,牠,牠,0,0,0.0
08,梁书,魏晋南北朝,368183,蛇—ta系统,姐姊,姐 / 姊,14,14,38.02456930385162
08,梁书,魏晋南北朝,368183,蛇—ta系统,巳,巳,80,80,217.28325316486638
08,梁书,魏晋南北朝,368183,蛇—ta系统,虺,虺,2,2,5.43208132912166
08,梁书,魏晋南北朝,368183,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,0,0,0.0
08,梁书,魏晋南北朝,368183,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
08,梁书,魏晋南北朝,368183,蛇—ta系统,化蛇,化蛇,0,0,0.0
08,梁书,魏晋南北朝,368183,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
